true,N,fr,pred,correct,d_cvll
step,40,2.0,ramp,0,-0.3142339944576378
step,40,2.0,ramp,0,-0.47845645883573695
step,40,2.0,ramp,0,-0.06418110314082526
step,40,2.0,step,1,1.8820483577017484
step,40,2.0,step,1,0.40636288001131504
step,40,2.0,step,1,3.7488072932036545
step,40,2.0,step,1,0.9545312891740991
step,40,2.0,step,1,0.24435971357601716
step,40,2.0,ramp,0,-0.18632307180523355
step,40,2.0,ramp,0,-0.5293297083515256
step,40,2.0,step,1,11.600503729924952
step,40,2.0,step,1,0.6272039532328506
step,40,2.0,step,1,0.022473743018366577
step,40,2.0,ramp,0,-1.0789760156035868
step,40,2.0,step,1,0.14356422234860133
step,40,2.0,step,1,0.20302195615178675
step,40,2.0,step,1,0.31801974076410033
step,40,2.0,ramp,0,-0.843687438070674
step,40,2.0,step,1,0.004055139546110809
step,40,2.0,step,1,0.3430149740385673
step,40,2.0,step,1,0.8574937257150594
step,40,2.0,step,1,2.571595004496885e-06
step,40,2.0,ramp,0,-1.594666175975803
step,40,2.0,ramp,0,-4.140685041860252
step,40,2.0,ramp,0,-0.8671679699783255
step,40,2.0,step,1,0.08730175525793982
step,40,2.0,ramp,0,-0.8611544254110015
step,40,2.0,ramp,0,-0.09307244563591155
step,40,2.0,ramp,0,-0.09229918059432407
step,40,2.0,step,1,3.316404593041611
step,40,2.0,ramp,0,-0.11969341219419505
step,40,2.0,ramp,0,-0.5517153024520525
step,40,5.0,step,1,0.060239050987974
step,40,5.0,step,1,0.5258490200242534
step,40,5.0,step,1,0.25836157658352477
step,40,5.0,ramp,0,-0.410858691856248
step,40,5.0,step,1,0.46857066778048306
step,40,5.0,ramp,0,-0.5027734523820868
step,40,5.0,ramp,0,-0.7317108937357659
step,40,5.0,step,1,1.060448596704191
step,40,5.0,ramp,0,-0.25266196427730847
step,40,5.0,ramp,0,-0.11490565606388259
step,40,5.0,ramp,0,-2.183911550646002
step,40,5.0,step,1,0.5611719327503408
step,40,5.0,ramp,0,-0.8085732833148995
step,40,5.0,ramp,0,-0.24410440494494878
step,40,5.0,ramp,0,-0.2087221995927564
step,40,5.0,step,1,0.9685953026692573
step,40,5.0,step,1,1.1221895806421287
step,40,5.0,step,1,4.075745488000621
step,40,5.0,step,1,1.2415594725998744
step,40,5.0,step,1,0.00029945735695946496
step,40,5.0,step,1,0.08296497965767458
step,40,5.0,step,1,0.1976019416439101
step,40,5.0,ramp,0,-1.3236770017238655
step,40,5.0,step,1,9.268354371749155
step,40,5.0,step,1,0.31635640622585015
step,40,5.0,step,1,1.3884512591140776
step,40,5.0,ramp,0,-0.8395616538906552
step,40,5.0,ramp,0,-0.08868566812768108
step,40,5.0,step,1,0.41798032118359174
step,40,5.0,step,1,0.37423463242600974
step,40,5.0,ramp,0,-0.36549605545752684
step,40,5.0,step,1,0.10244976365441971
step,40,5.0,step,1,0.2158779972692173
step,40,5.0,step,1,0.00964717855077879
step,40,5.0,step,1,1.821916465862131
step,40,5.0,ramp,0,-0.3046827123421565
step,40,5.0,step,1,0.3014125484753549
step,40,5.0,step,1,0.2076236018931752
step,40,5.0,step,1,0.6099969363694697
step,40,5.0,ramp,0,-0.08358879199900571
step,40,5.0,step,1,0.15303853911132137
step,40,5.0,step,1,0.6576758213380458
step,40,5.0,ramp,0,-0.12684160953381252
