cell,auc_before,auc_after,n
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:348,0.42351537645811244,0.5339342523860022,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:349,0.46341463414634143,0.5424178154825027,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:35,0.5837751855779427,0.5893425238600212,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:351,0.5748939554612938,0.5405620360551431,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:352,0.5349946977730647,0.4984093319194062,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:366,0.406813361611877,0.4207317073170732,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:373,0.4772004241781548,0.493372216330859,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:383,0.5188229056203605,0.5005302226935313,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:39,0.4544008483563096,0.41171792152704134,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:41,0.5357900318133616,0.5540827147401909,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:51,0.5113997879109226,0.5082184517497349,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:52,0.6015376458112407,0.5790031813361611,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:58,0.47958642629904563,0.4928419936373277,128
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:60,0.5803287380699894,0.5609756097560975,128
59b7a543-8827-4157-a4f6-d5d0e50fdf39:10,0.7633928571428572,0.7075892857142857,64
59b7a543-8827-4157-a4f6-d5d0e50fdf39:12,0.49330357142857145,0.359375,64
6981808a-357c-4ffd-9989-33160ba9e256:280,0.7181372549019608,0.6919934640522877,70
6981808a-357c-4ffd-9989-33160ba9e256:289,0.5514705882352942,0.5302287581699346,70
6981808a-357c-4ffd-9989-33160ba9e256:290,0.40032679738562094,0.4084967320261438,70
6981808a-357c-4ffd-9989-33160ba9e256:338,0.5334967320261438,0.5040849673202614,70
6981808a-357c-4ffd-9989-33160ba9e256:339,0.4779411764705882,0.45751633986928103,70
6981808a-357c-4ffd-9989-33160ba9e256:344,0.3941993464052288,0.45996732026143794,70
6981808a-357c-4ffd-9989-33160ba9e256:362,0.5555555555555556,0.5367647058823529,70
6981808a-357c-4ffd-9989-33160ba9e256:365,0.5138888888888888,0.5147058823529411,70
6981808a-357c-4ffd-9989-33160ba9e256:385,0.6478758169934641,0.636437908496732,70
6981808a-357c-4ffd-9989-33160ba9e256:393,0.5612745098039216,0.5441176470588235,70
6981808a-357c-4ffd-9989-33160ba9e256:401,0.625,0.6151960784313726,70
