cell,auc_before,auc_after,n
b543e81e-4c8f-415e-82ec-631b177d19d2:267,0.4265641569459172,0.43902439024390244,128
b543e81e-4c8f-415e-82ec-631b177d19d2:288,0.42815482502651114,0.5063626723223753,128
b543e81e-4c8f-415e-82ec-631b177d19d2:335,0.5471898197242842,0.5355249204665959,128
b543e81e-4c8f-415e-82ec-631b177d19d2:388,0.5426829268292683,0.5617709437963945,128
b543e81e-4c8f-415e-82ec-631b177d19d2:405,0.4361081654294804,0.5039766702014846,128
b543e81e-4c8f-415e-82ec-631b177d19d2:428,0.48502120890774125,0.4997348886532344,128
b543e81e-4c8f-415e-82ec-631b177d19d2:438,0.4594379639448568,0.4769353128313892,128
b83407f8-8220-46f9-9b90-a4c9f150c572:264,0.23809523809523814,0.26750700280112044,55
b83407f8-8220-46f9-9b90-a4c9f150c572:269,0.4859943977591036,0.48039215686274506,55
b83407f8-8220-46f9-9b90-a4c9f150c572:280,0.24649859943977592,0.273109243697479,55
b83407f8-8220-46f9-9b90-a4c9f150c572:283,0.2563025210084034,0.30952380952380953,55
b83407f8-8220-46f9-9b90-a4c9f150c572:288,0.5546218487394958,0.5588235294117647,55
b83407f8-8220-46f9-9b90-a4c9f150c572:290,0.40476190476190477,0.45798319327731096,55
b83407f8-8220-46f9-9b90-a4c9f150c572:291,0.4761904761904762,0.4327731092436975,55
b83407f8-8220-46f9-9b90-a4c9f150c572:306,0.6246498599439776,0.6442577030812325,55
b83407f8-8220-46f9-9b90-a4c9f150c572:327,0.4831932773109244,0.4551820728291317,55
b83407f8-8220-46f9-9b90-a4c9f150c572:337,0.31092436974789917,0.27030812324929976,55
b83407f8-8220-46f9-9b90-a4c9f150c572:338,0.46218487394957986,0.4229691876750701,55
b83407f8-8220-46f9-9b90-a4c9f150c572:348,0.30392156862745096,0.3403361344537815,55
b83407f8-8220-46f9-9b90-a4c9f150c572:365,0.4453781512605042,0.39495798319327735,55
b83407f8-8220-46f9-9b90-a4c9f150c572:367,0.5392156862745098,0.5168067226890756,55
b83407f8-8220-46f9-9b90-a4c9f150c572:373,0.4677871148459384,0.43557422969187676,55
b83407f8-8220-46f9-9b90-a4c9f150c572:377,0.44817927170868344,0.49719887955182074,55
b83407f8-8220-46f9-9b90-a4c9f150c572:381,0.592436974789916,0.5406162464985995,55
