cell,region,fr_window,n,auc_move_none,p_move_none,auc_move_linear,p_move_linear,auc_move_expanded,p_move_expanded,auc_move_pca_expanded,p_move_pca_expanded,dataset
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:169,MRN,12.16777175478064,77,0.5587044534412956,0.3853073463268366,0.5661268556005398,0.30834582708645675,0.5384615384615384,0.5467266366816592,0.5877192982456141,0.19640179910044978,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:171,MRN,54.737727405152135,77,0.626855600539811,0.06146926536731634,0.520242914979757,0.7631184407796102,0.48043184885290147,0.7741129435282359,0.5074224021592443,0.9165417291354323,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:185,MRN,31.05844864316522,77,0.4784075573549258,0.7151424287856072,0.40553306342780027,0.1454272863568216,0.4433198380566802,0.4047976011994003,0.3562753036437247,0.025987006496751622,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:194,MRN,22.761487635581847,77,0.5,1.0,0.47908232118758437,0.7491254372813593,0.49055330634278005,0.8930534732633684,0.47233468286099867,0.679160419790105,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:201,MRN,34.55857709367342,77,0.6538461538461539,0.022988505747126436,0.543859649122807,0.512743628185907,0.558029689608637,0.36881559220389803,0.5242914979757085,0.703648175912044,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:219,MRN,27.382080455674974,77,0.4156545209176788,0.2223888055972014,0.50472334682861,0.9465267366316842,0.5614035087719298,0.37231384307846077,0.47705802968960864,0.735632183908046,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:223,MRN,14.867312012787243,77,0.45479082321187586,0.504247876061969,0.43454790823211875,0.3313343328335832,0.4507422402159244,0.47126436781609193,0.432523616734143,0.30934532733633185,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:244,MRN,18.407645348782943,77,0.5742240215924427,0.25837081459270367,0.5175438596491229,0.7936031984007996,0.4898785425101215,0.8740629685157422,0.4966261808367072,0.9525237381309345,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:271,MRN,22.496764122621517,77,0.39203778677462886,0.11294352823588207,0.37786774628879893,0.07546226886556721,0.4399460188933873,0.3853073463268366,0.3792172739541161,0.0734632683658171,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:283,MRN,44.501481235840025,77,0.5013495276653172,0.9880059970014993,0.5668016194331984,0.3183408295852074,0.4817813765182186,0.7871064467766117,0.5539811066126855,0.40679660169915044,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:286,MRN,60.10589713170907,77,0.5161943319838057,0.8075962018990505,0.48380566801619435,0.7956021989005497,0.46963562753036436,0.6391804097951025,0.49865047233468285,0.9875062468765617,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:307,MRN,47.78016739415669,77,0.4649122807017544,0.6111944027986007,0.5418353576248313,0.519240379810095,0.46963562753036436,0.6561719140429785,0.5445344129554656,0.504247876061969,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:315,MRN,26.623785363394056,77,0.19939271255060728,0.0004997501249375312,0.3562753036437247,0.026486756621689155,0.3609986504723347,0.035982008995502246,0.31039136302294196,0.006496751624187906,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:317,MRN,25.271646482031628,77,0.6140350877192983,0.07446276861569215,0.5573549257759784,0.3888055972013993,0.5964912280701754,0.14992503748125938,0.5715249662618084,0.2783608195902049,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:371,SCm,57.2750693823972,77,0.5155195681511471,0.8245877061469266,0.52834008097166,0.672663668165917,0.4669365721997301,0.631184407796102,0.5,1.0,IBL
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:538,MRN,32.25069310884547,77,0.5600539811066126,0.37681159420289856,0.5155195681511471,0.8115942028985508,0.5269905533063428,0.670664667666167,0.5458839406207827,0.4987506246876562,IBL
c4f6665f-8be5-476b-a6e8-d81eeae9279d:1,MRN,14.373276781806933,60,0.24760765550239233,0.0009995002498750624,0.29784688995215314,0.006496751624187906,0.3576555023923445,0.0734632683658171,0.2966507177033493,0.009495252373813094,IBL
c4f6665f-8be5-476b-a6e8-d81eeae9279d:82,MRN,10.071554256308112,60,0.47607655502392343,0.7616191904047976,0.48444976076555024,0.856071964017991,0.42942583732057416,0.39430284857571213,0.48325358851674644,0.8470764617691154,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:1001,SCm,18.94903744393364,170,0.40631668800682885,0.026986506746626688,0.39536207141840946,0.021989005497251374,0.426234172713046,0.10394802598700649,0.3876796130317257,0.013993003498250875,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:1005,SCm,17.901239417131986,170,0.597524541186513,0.011494252873563218,0.5026319533361787,0.952023988005997,0.395504339166311,0.02348825587206397,0.5252525252525253,0.5942028985507246,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:1006,SCm,17.282258945687325,170,0.5039123630672926,0.9265367316341829,0.5024896855882771,0.9565217391304348,0.5012092758571631,0.9790104947526237,0.5152937828994167,0.7276361819090454,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:1013,SCm,12.3307502381075,170,0.5103144117228624,0.8320839580209896,0.504765969554702,0.9160419790104948,0.4793000426803244,0.6346826586706646,0.5144401764120073,0.7201399300349826,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:1017,SCm,14.959857716113593,170,0.523118509034002,0.6031984007996002,0.524683454260919,0.5972013993003499,0.49039692701664533,0.8310844577711144,0.523118509034002,0.6116941529235382,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:1032,SCm,47.745172371949465,170,0.5026319533361787,0.953023488255872,0.5150092474036136,0.7346326836581709,0.5444586712192346,0.3153423288355822,0.5023474178403756,0.9645177411294353,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:1037,SCm,47.76847885392552,170,0.40916204296485986,0.0399800099950025,0.3937971261914924,0.01899050474762619,0.4300754019063878,0.13093453273363317,0.40574761701522266,0.03298350824587706,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:1045,SCm,25.177346874208016,170,0.4372599231754161,0.14592703648175911,0.4529805093185375,0.3118440779610195,0.4829990041257647,0.7226386806596702,0.44956608336890025,0.26186906546726635,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:581,MRN,85.94664250750326,170,0.5224071702944942,0.6111944027986007,0.5413287807654005,0.3613193403298351,0.4655000711338739,0.44427786106946526,0.5320813771517997,0.4782608695652174,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:589,MRN,22.76080537009819,170,0.5532792715891307,0.2353823088455772,0.5440318679755299,0.3188405797101449,0.5548442168160478,0.2158920539730135,0.5453122777066439,0.30184907546226886,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:605,MRN,15.410711746624443,170,0.40162185232607767,0.029985007496251874,0.3700384122919334,0.0034982508745627187,0.4218238725280979,0.07846076961519241,0.39721155214112963,0.025987006496751622,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:690,MRN,20.48025116209692,170,0.5398349694124343,0.39930034982508744,0.5352112676056338,0.44627686156921537,0.5453122777066439,0.3028485757121439,0.5451700099587423,0.31434282858570717,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:752,MRN,20.72731810653349,170,0.4165599658557405,0.06996501749125437,0.42196614027599944,0.08195902048975512,0.42225067577180253,0.08095952023988005,0.41983212405747616,0.08095952023988005,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:753,MRN,31.01948173440641,170,0.5060463792858159,0.8850574712643678,0.507895860008536,0.8690654672663668,0.5115948214539764,0.7896051974012993,0.5054773082942097,0.9105447276361819,IBL
